,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,3,0,0,0,3
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,6,0,0,10
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,4,0,1,7
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,0,0,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,3,1,6
CAIROMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,2,0,0,4
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,3,0,0,5
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,1,2,5
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,1,1,4
CHAQUI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,1,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,2,0,2,4
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,4,7,2,0,13
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,49,45,5,2,101
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,2,1,0,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,1,0,1,2
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,3,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,14,4,0,0,18
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,1,2,0,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,59,54,25,21,159
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,2,7,0,0,9
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,2,0,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,1,1,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,0,2,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2016-01-01,1,0,0,0,1
