,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,2,5,0,0,7
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,3,0,0,4
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,4,1,2,7
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,1,2,3
CHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,1,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,13,12,1,0,26
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,0,1,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,0,1,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,2,0,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,5,8,2,4,19
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,1,0,0,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,5,1,2,9
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,2,4,1,2,9
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,4,6,1,6,17
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,5,6,7,11,29
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,4,1,1,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,2,1,0,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,1,1,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,3,0,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,24,16,2,2,44
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,2,4,0,0,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2016-01-01,1,0,1,0,2
