,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,3,1,0,0,4
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,2,0,0,4
ALALAY,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,3,0,3
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,3,0,0,3
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,4,5,0,0,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,33,39,2,2,76
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,4,4,6,1,15
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,0,2,0,4
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,15,10,1,1,27
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,5,6,0,0,11
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,1,5,3,10
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,2,1,4
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,14,20,1,3,38
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,0,0,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,2,1,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,0,1,2,3
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,2,0,2,2,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,2,0,2,5
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,2,0,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,10,7,2,0,19
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,56,50,23,12,141
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,2,3,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,1,0,2
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
CORQUE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,0,1,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,4,2,0,0,6
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,14,3,0,0,17
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2016-01-01,10,11,5,8,34
