,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,4,2,0,0,6
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,2,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,1,3,4,8
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,1,0,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,3,0,0,4
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,0,2,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,3,2,0,0,5
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,1,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,8,10,1,1,20
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,0,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,2,1,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,16,11,2,3,32
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,5,6,0,0,11
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,1,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,2,3
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,1,2
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,1,0,0,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,4,1,1,7
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,3,8,1,3,15
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,2,2,7,4,15
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,9,9,11,12,41
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,1,0,2,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,2,0,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2016-01-01,0,0,1,1,2
