,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,total talla normal,2014-01-01,33,34,30,35,40,29,103,98,201
ACHACACHI,estado nutricional,total talla normal,2014-01-01,188,195,151,124,122,122,461,441,902
ACHOCALLA,estado nutricional,total talla normal,2014-01-01,81,87,62,63,53,78,196,228,424
AIQUILE,estado nutricional,total talla normal,2014-01-01,248,229,207,183,194,185,649,597,1246
ALALAY,estado nutricional,total talla normal,2014-01-01,16,18,16,13,6,6,38,37,75
ALTO BENI,estado nutricional,total talla normal,2014-01-01,93,83,79,60,86,95,258,238,496
ANCORAIMES,estado nutricional,total talla normal,2014-01-01,109,81,72,61,86,73,267,215,482
ANDAMARCA,estado nutricional,total talla normal,2014-01-01,31,29,13,26,47,50,91,105,196
ANTEQUERA,estado nutricional,total talla normal,2014-01-01,22,29,23,23,30,21,75,73,148
ANZALDO,estado nutricional,total talla normal,2014-01-01,19,24,30,24,12,20,61,68,129
APOLO,estado nutricional,total talla normal,2014-01-01,215,163,126,131,98,114,439,408,847
ARAMPAMPA,estado nutricional,total talla normal,2014-01-01,13,22,27,19,21,25,61,66,127
ARANI,estado nutricional,total talla normal,2014-01-01,119,110,89,77,67,45,275,232,507
ARBIETO,estado nutricional,total talla normal,2014-01-01,152,151,122,117,133,152,407,420,827
ARQUE,estado nutricional,total talla normal,2014-01-01,95,97,86,90,75,74,256,261,517
ASCENCION DE GUARAYOS,estado nutricional,total talla normal,2014-01-01,289,271,133,132,135,167,557,570,1127
ATOCHA,estado nutricional,total talla normal,2014-01-01,113,108,77,53,75,102,265,263,528
AUCAPATA,estado nutricional,total talla normal,2014-01-01,44,34,25,34,22,34,91,102,193
AYATA,estado nutricional,total talla normal,2014-01-01,28,35,23,25,18,18,69,78,147
AYO AYO,estado nutricional,total talla normal,2014-01-01,66,73,50,79,31,44,147,196,343
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-01-01,195,191,156,167,107,103,458,461,919
AZURDUY,estado nutricional,total talla normal,2014-01-01,98,95,80,69,134,146,312,310,622
BATALLAS,estado nutricional,total talla normal,2014-01-01,147,121,87,112,71,68,305,301,606
BAURES,estado nutricional,total talla normal,2014-01-01,52,95,23,28,60,36,135,159,294
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-01-01,9,7,14,12,10,9,33,28,61
BELEN DE URMIRI,estado nutricional,total talla normal,2014-01-01,7,8,7,15,6,2,20,25,45
BELLA FLOR,estado nutricional,total talla normal,2014-01-01,22,21,16,14,22,26,60,61,121
BERMEJO,estado nutricional,total talla normal,2014-01-01,360,332,274,293,232,182,866,807,1673
BETANZOS,estado nutricional,total talla normal,2014-01-01,241,262,201,217,205,209,647,688,1335
BOLIVAR,estado nutricional,total talla normal,2014-01-01,32,57,35,27,51,22,118,106,224
BOLPEBRA,estado nutricional,total talla normal,2014-01-01,13,7,18,10,7,11,38,28,66
BOYUIBE,estado nutricional,total talla normal,2014-01-01,27,35,24,18,34,28,85,81,166
BUENA VISTA,estado nutricional,total talla normal,2014-01-01,99,104,98,116,183,129,380,349,729
CABEZAS,estado nutricional,total talla normal,2014-01-01,188,200,125,130,129,124,442,454,896
CAIROMA,estado nutricional,total talla normal,2014-01-01,66,66,64,53,55,45,185,164,349
"CAIZA ""D""",estado nutricional,total talla normal,2014-01-01,64,57,65,57,60,60,189,174,363
CAJUATA,estado nutricional,total talla normal,2014-01-01,112,95,59,61,71,71,242,227,469
CALACOTO,estado nutricional,total talla normal,2014-01-01,17,30,24,32,18,27,59,89,148
CALAMARCA,estado nutricional,total talla normal,2014-01-01,84,93,85,77,70,79,239,249,488
CAMARGO,estado nutricional,total talla normal,2014-01-01,100,128,99,89,133,147,332,364,696
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-01-01,26,17,18,22,42,27,86,66,152
CAMIRI,estado nutricional,total talla normal,2014-01-01,287,331,239,189,240,266,766,786,1552
CAPINOTA,estado nutricional,total talla normal,2014-01-01,71,90,56,35,42,49,169,174,343
CAQUIAVIRI,estado nutricional,total talla normal,2014-01-01,65,52,41,52,54,38,160,142,302
CARACOLLO,estado nutricional,total talla normal,2014-01-01,167,180,124,118,117,107,408,405,813
CARANAVI,estado nutricional,total talla normal,2014-01-01,374,327,275,234,222,210,871,771,1642
CARANGAS,estado nutricional,total talla normal,2014-01-01,1,3,1,2,4,1,6,6,12
CARAPARI,estado nutricional,total talla normal,2014-01-01,164,137,145,120,125,117,434,374,808
CARIPUYO,estado nutricional,total talla normal,2014-01-01,71,66,37,40,45,46,153,152,305
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-01-01,31,32,24,23,19,24,74,79,153
CATACORA,estado nutricional,total talla normal,2014-01-01,2,3,0,1,6,3,8,7,15
CHACARILLA,estado nutricional,total talla normal,2014-01-01,4,3,6,1,13,5,23,9,32
CHALLAPATA,estado nutricional,total talla normal,2014-01-01,359,350,204,211,169,164,732,725,1457
CHAQUI,estado nutricional,total talla normal,2014-01-01,58,56,42,46,23,13,123,115,238
CHARAGUA,estado nutricional,total talla normal,2014-01-01,263,269,191,169,196,222,650,660,1310
CHARAÑA,estado nutricional,total talla normal,2014-01-01,14,15,7,10,19,7,40,32,72
CHAYANTA,estado nutricional,total talla normal,2014-01-01,4,8,2,2,2,2,8,12,20
CHIMORE,estado nutricional,total talla normal,2014-01-01,323,292,250,182,233,210,806,684,1490
CHIPAYA,estado nutricional,total talla normal,2014-01-01,28,16,7,14,17,9,52,39,91
CHOQUE COTA,estado nutricional,total talla normal,2014-01-01,9,9,8,5,6,3,23,17,40
CHUA COCANI,estado nutricional,total talla normal,2014-01-01,26,22,11,8,15,22,52,52,104
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-01-01,75,59,52,39,45,32,172,130,302
CHUMA,estado nutricional,total talla normal,2014-01-01,71,79,47,50,41,53,159,182,341
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-01-01,52,55,41,35,39,35,132,125,257
CKOCHAS,estado nutricional,total talla normal,2014-01-01,105,136,110,101,89,81,304,318,622
CLIZA,estado nutricional,total talla normal,2014-01-01,178,147,96,97,97,76,371,320,691
COBIJA,estado nutricional,total talla normal,2014-01-01,565,528,333,342,280,284,1178,1154,2332
COCAPATA,estado nutricional,total talla normal,2014-01-01,118,97,83,96,72,70,273,263,536
COCHABAMBA,estado nutricional,total talla normal,2014-01-01,4065,4190,2462,2274,1709,1736,8236,8200,16436
COIPASA,estado nutricional,total talla normal,2014-01-01,13,8,6,5,8,5,27,18,45
COLCAPIRHUA,estado nutricional,total talla normal,2014-01-01,402,320,274,193,201,186,877,699,1576
"COLCHA ""K""",estado nutricional,total talla normal,2014-01-01,111,105,85,95,73,95,269,295,564
COLLANA,estado nutricional,total talla normal,2014-01-01,25,16,19,9,25,27,69,52,121
COLOMI,estado nutricional,total talla normal,2014-01-01,201,190,118,117,77,69,396,376,772
COLPA BELGICA,estado nutricional,total talla normal,2014-01-01,6,6,1,1,0,0,7,7,14
COLQUECHACA,estado nutricional,total talla normal,2014-01-01,262,268,194,196,74,98,530,562,1092
COLQUENCHA,estado nutricional,total talla normal,2014-01-01,63,61,43,46,43,41,149,148,297
COLQUIRI,estado nutricional,total talla normal,2014-01-01,128,140,84,81,62,64,274,285,559
