,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,total talla baja,2014-01-01,5,9,19,12,21,37,45,58,103
ACHACACHI,estado nutricional,total talla baja,2014-01-01,20,17,29,20,24,19,73,56,129
ACHOCALLA,estado nutricional,total talla baja,2014-01-01,6,6,10,8,3,8,19,22,41
AIQUILE,estado nutricional,total talla baja,2014-01-01,6,1,12,8,5,10,23,19,42
ALALAY,estado nutricional,total talla baja,2014-01-01,7,4,8,6,6,8,21,18,39
ALTO BENI,estado nutricional,total talla baja,2014-01-01,0,3,7,5,4,6,11,14,25
ANCORAIMES,estado nutricional,total talla baja,2014-01-01,19,7,26,18,13,16,58,41,99
ANDAMARCA,estado nutricional,total talla baja,2014-01-01,8,3,11,9,26,15,45,27,72
ANTEQUERA,estado nutricional,total talla baja,2014-01-01,3,0,2,2,1,1,6,3,9
ANZALDO,estado nutricional,total talla baja,2014-01-01,7,6,10,10,8,16,25,32,57
APOLO,estado nutricional,total talla baja,2014-01-01,5,4,27,16,19,19,51,39,90
ARAMPAMPA,estado nutricional,total talla baja,2014-01-01,2,1,9,6,9,15,20,22,42
ARANI,estado nutricional,total talla baja,2014-01-01,7,9,13,8,5,12,25,29,54
ARBIETO,estado nutricional,total talla baja,2014-01-01,1,1,5,4,5,12,11,17,28
ARQUE,estado nutricional,total talla baja,2014-01-01,9,4,26,24,23,21,58,49,107
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-01-01,8,2,7,7,7,8,22,17,39
ATOCHA,estado nutricional,total talla baja,2014-01-01,7,3,14,13,10,13,31,29,60
AUCAPATA,estado nutricional,total talla baja,2014-01-01,1,3,4,3,8,8,13,14,27
AYATA,estado nutricional,total talla baja,2014-01-01,11,6,22,18,16,12,49,36,85
AYO AYO,estado nutricional,total talla baja,2014-01-01,8,4,20,15,15,4,43,23,66
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-01-01,18,18,46,39,29,27,93,84,177
AZURDUY,estado nutricional,total talla baja,2014-01-01,13,1,24,17,55,71,92,89,181
BATALLAS,estado nutricional,total talla baja,2014-01-01,6,3,15,9,7,8,28,20,48
BAURES,estado nutricional,total talla baja,2014-01-01,1,2,1,0,4,1,6,3,9
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-01-01,0,0,7,4,1,3,8,7,15
BELEN DE URMIRI,estado nutricional,total talla baja,2014-01-01,2,2,5,1,2,7,9,10,19
BELLA FLOR,estado nutricional,total talla baja,2014-01-01,0,2,0,1,2,1,2,4,6
BERMEJO,estado nutricional,total talla baja,2014-01-01,11,3,13,7,6,7,30,17,47
BETANZOS,estado nutricional,total talla baja,2014-01-01,28,16,112,77,105,101,245,194,439
BOLIVAR,estado nutricional,total talla baja,2014-01-01,28,20,35,20,18,26,81,66,147
BOLPEBRA,estado nutricional,total talla baja,2014-01-01,1,1,0,1,3,2,4,4,8
BOYUIBE,estado nutricional,total talla baja,2014-01-01,3,5,5,2,1,3,9,10,19
BUENA VISTA,estado nutricional,total talla baja,2014-01-01,1,0,1,4,6,2,8,6,14
CABEZAS,estado nutricional,total talla baja,2014-01-01,2,1,6,5,3,0,11,6,17
CAIROMA,estado nutricional,total talla baja,2014-01-01,8,7,16,3,12,21,36,31,67
"CAIZA ""D""",estado nutricional,total talla baja,2014-01-01,6,4,15,9,14,11,35,24,59
CAJUATA,estado nutricional,total talla baja,2014-01-01,6,4,7,6,11,5,24,15,39
CALACOTO,estado nutricional,total talla baja,2014-01-01,4,0,3,3,1,2,8,5,13
CALAMARCA,estado nutricional,total talla baja,2014-01-01,17,8,36,14,29,25,82,47,129
CAMARGO,estado nutricional,total talla baja,2014-01-01,13,7,29,17,50,49,92,73,165
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-01-01,0,1,3,4,10,5,13,10,23
CAMIRI,estado nutricional,total talla baja,2014-01-01,3,4,8,4,3,6,14,14,28
CAPINOTA,estado nutricional,total talla baja,2014-01-01,12,10,14,20,10,12,36,42,78
CAQUIAVIRI,estado nutricional,total talla baja,2014-01-01,9,4,15,11,8,7,32,22,54
CARACOLLO,estado nutricional,total talla baja,2014-01-01,4,3,29,13,12,27,45,43,88
CARANAVI,estado nutricional,total talla baja,2014-01-01,13,9,27,34,34,34,74,77,151
CARAPARI,estado nutricional,total talla baja,2014-01-01,0,1,5,1,3,4,8,6,14
CARIPUYO,estado nutricional,total talla baja,2014-01-01,10,8,28,20,26,35,64,63,127
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-01-01,0,0,1,0,2,0,3,0,3
CATACORA,estado nutricional,total talla baja,2014-01-01,0,4,5,1,3,0,8,5,13
CHACARILLA,estado nutricional,total talla baja,2014-01-01,0,0,0,0,0,1,0,1,1
CHALLAPATA,estado nutricional,total talla baja,2014-01-01,38,30,75,33,41,41,154,104,258
CHAQUI,estado nutricional,total talla baja,2014-01-01,8,3,17,18,9,13,34,34,68
CHARAGUA,estado nutricional,total talla baja,2014-01-01,2,0,2,2,4,1,8,3,11
CHARAÑA,estado nutricional,total talla baja,2014-01-01,0,0,1,0,0,2,1,2,3
CHAYANTA,estado nutricional,total talla baja,2014-01-01,4,2,3,4,4,1,11,7,18
CHIMORE,estado nutricional,total talla baja,2014-01-01,12,2,11,14,18,15,41,31,72
CHIPAYA,estado nutricional,total talla baja,2014-01-01,3,2,8,2,2,1,13,5,18
CHOQUE COTA,estado nutricional,total talla baja,2014-01-01,0,4,1,0,0,1,1,5,6
CHUA COCANI,estado nutricional,total talla baja,2014-01-01,2,1,1,0,3,1,6,2,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-01-01,0,2,2,2,3,3,5,7,12
CHUMA,estado nutricional,total talla baja,2014-01-01,11,6,15,9,15,12,41,27,68
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-01-01,10,3,17,10,15,15,42,28,70
CKOCHAS,estado nutricional,total talla baja,2014-01-01,17,17,54,45,53,43,124,105,229
CLIZA,estado nutricional,total talla baja,2014-01-01,11,5,10,4,7,12,28,21,49
COBIJA,estado nutricional,total talla baja,2014-01-01,24,15,35,15,20,11,79,41,120
COCAPATA,estado nutricional,total talla baja,2014-01-01,18,17,46,32,78,60,142,109,251
COCHABAMBA,estado nutricional,total talla baja,2014-01-01,121,103,210,163,142,119,473,385,858
COIPASA,estado nutricional,total talla baja,2014-01-01,0,0,0,0,0,1,0,1,1
COLCAPIRHUA,estado nutricional,total talla baja,2014-01-01,6,5,14,19,21,9,41,33,74
"COLCHA ""K""",estado nutricional,total talla baja,2014-01-01,8,2,10,10,10,8,28,20,48
COLLANA,estado nutricional,total talla baja,2014-01-01,1,0,4,0,1,1,6,1,7
COLOMI,estado nutricional,total talla baja,2014-01-01,12,10,29,27,22,25,63,62,125
COLQUECHACA,estado nutricional,total talla baja,2014-01-01,54,44,108,86,76,55,238,185,423
COLQUENCHA,estado nutricional,total talla baja,2014-01-01,7,3,13,11,14,9,34,23,57
COLQUIRI,estado nutricional,total talla baja,2014-01-01,9,8,10,7,15,8,34,23,57
COMANCHE,estado nutricional,total talla baja,2014-01-01,1,1,5,2,2,3,8,6,14
COMARAPA,estado nutricional,total talla baja,2014-01-01,6,3,15,6,9,6,30,15,45
COMBAYA,estado nutricional,total talla baja,2014-01-01,0,0,0,0,6,7,6,7,13
